Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1494414901.5596724,0,1494414901,559672279,gps,0,0,47.3959846496582,8.648222923278809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414901.659614,0,1494414901,659614015,gps,0,0,47.395999908447266,8.648209571838379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414901.7596054,0,1494414901,759605391,gps,0,0,47.395999908447266,8.648209571838379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414901.859622,0,1494414901,859622117,gps,0,0,47.39601516723633,8.648200988769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414901.9596162,0,1494414901,959616177,gps,0,0,47.39601516723633,8.648200988769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414902.0596356,0,1494414902,59635549,gps,0,0,47.396034240722656,8.648198127746582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414902.1599202,0,1494414902,159920237,gps,0,0,47.396034240722656,8.648198127746582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414902.2595885,0,1494414902,259588520,gps,0,0,47.396053314208984,8.648201942443848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414902.3597455,0,1494414902,359745390,gps,0,0,47.396053314208984,8.648201942443848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414902.4596741,0,1494414902,459674058,gps,0,0,47.39606475830078,8.648209571838379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414902.5595787,0,1494414902,559578763,gps,0,0,47.39606475830078,8.648209571838379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414902.659617,0,1494414902,659617027,gps,0,0,47.39607620239258,8.648221015930176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414902.759788,0,1494414902,759788077,gps,0,0,47.39607620239258,8.648221015930176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414902.8596272,0,1494414902,859627297,gps,0,0,47.39609146118164,8.648237228393555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414902.959543,0,1494414902,959542965,gps,0,0,47.39609146118164,8.648237228393555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414903.059555,0,1494414903,59554958,gps,0,0,47.39610290527344,8.648252487182617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
